date,opening_cash,external_inflows,external_outflows,trading_cash_flow,income,fees,financing_costs,internal_transfers,other_cash_flow,net_cash_movement,closing_cash,balance_confidence,cash_position_type
2019-03-29,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-30,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-03-31,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-01,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-02,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-03,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-04,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-05,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-06,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-07,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-08,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-09,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-10,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-11,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-12,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-13,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-14,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-15,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-16,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-17,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-18,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-19,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-20,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-21,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-22,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-23,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-24,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-25,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-26,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-27,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-28,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-29,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-04-30,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-01,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-02,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-03,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-04,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-05,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-06,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-07,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-08,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-09,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-10,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-11,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-12,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-13,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-14,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-15,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-16,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-17,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-18,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-19,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-20,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-21,18880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18880.00,derived,verified_account_balance
2019-05-22,18880.00,0.00,0.00,180.00,0.00,0.00,0.00,0.00,0.00,180.00,19060.00,derived,verified_account_balance
2019-05-23,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-05-24,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-05-25,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-05-26,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-05-27,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-05-28,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-05-29,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-05-30,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-05-31,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-01,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-02,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-03,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-04,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-05,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-06,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-07,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-08,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-09,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-10,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-11,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-12,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-13,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-14,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-15,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-16,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-17,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-18,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-19,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-20,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-21,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-22,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-23,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-24,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-25,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-26,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-27,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-28,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-29,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-06-30,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-01,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-02,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-03,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-04,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-05,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-06,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-07,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-08,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-09,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-10,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-11,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-12,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-13,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-14,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-15,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-16,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-17,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-18,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-19,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-20,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-21,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-22,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-23,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-24,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-25,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-26,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-27,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-28,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-29,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-30,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-07-31,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-08-01,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-08-02,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-08-03,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
2019-08-04,19060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19060.00,derived,verified_account_balance
